'DDMG','NYSE'   
'DLR','NYSE'    
'DLR-E','NYSE'  
'DGI','NYSE'    
'DDS','NYSE'    
'DDT','NYSE'    
'DIN','NYSE'    
'DFS','NYSE'    
'DNI','NYSE'    
'DM','NYSE'     
'DLB','NYSE'    
'DOLE','NYSE'   
'DG','NYSE'     
'DTG','NYSE'    
'DOM','NYSE'    
'D','NYSE'      
'DRU','NYSE'    
'DPZ','NYSE'    
'UFS','NYSE'    
'DCI','NYSE'    
'DRL','NYSE'    
'PLOW','NYSE'   
'DEI','NYSE'    
'DOV','NYSE'    
'DVD','NYSE'    
'DDE','NYSE'    
'DPD','NYSE'    
'DPO','NYSE'    
'DOW','NYSE'    
'DPS','NYSE'    
'RDY','NYSE'    
'DRC','NYSE'    
'DW','NYSE'     
'DHF','NYSE'    
'DSM','NYSE'    
'LEO','NYSE'    
'DRQ','NYSE'    
'DST','NYSE'    
'DSW','NYSE'    
'DTE','NYSE'    
'DTE-A-CL'
'DTE-C-CL'
'DCO','NYSE'    
'DUF','NYSE'    
'DPG','NYSE'    
'DNP','NYSE'    
'DTF','NYSE'    
'DUC','NYSE'    
'DUK','NYSE'    
'DRE','NYSE'    
'DRE-J','NYSE'  
'DRE-K','NYSE'  
'DRE-L','NYSE'  
'DRE-M','NYSE'  
'DRE-O','NYSE'  
'DNB','NYSE'    
'DGW','NYSE'    
'DFT','NYSE'    
'DFT-A','NYSE'  
'DFT-B','NYSE'  
'DHG','NYSE'    
'DY','NYSE'     
'DYN','NYSE'    
'DX','NYSE'     
'DD','NYSE'     
'DD-A','NYSE'   
'DD-B','NYSE'   
'SSP','NYSE'    
'EXP','NYSE'    
'NGT','NYSE'    
'EGP','NYSE'    
'EMN','NYSE'    
'EK','NYSE'     
'ETN','NYSE'    
'ETV','NYSE'    
'ETW','NYSE'    
'EV','NYSE'     
'EOI','NYSE'    
'EOS','NYSE'    
'EFT','NYSE'    
'EOT','NYSE'    
'EVN','NYSE'    
'ETJ','NYSE'    
'EFR','NYSE'    
'EVF','NYSE'    
'EVG','NYSE'    
'EVT','NYSE'    
'ETO','NYSE'    
'EXD','NYSE'    
'ETG','NYSE'    
'ETB','NYSE'    
'ETY','NYSE'    
'EXG','NYSE'    
'ECT','NYSE'    
'ECL','NYSE'    
'DANG','NYSE'   
'EC','NYSE'     
'EIX','NYSE'    
'EDR','NYSE'    
'EW','NYSE'     
'EJ','NYSE'     
'EP','NYSE'     
'EP-C','NYSE'   
'EE','NYSE'     
'EPB','NYSE'    
'ELN','NYSE'    
'EGO','NYSE'    
'LLY','NYSE'    
'EFC','NYSE'    
'ELT','NYSE'    
'AKO-A','NYSE'  
'AKO-B','NYSE'  
'ERJ','NYSE'    
'EMC','NYSE'    
'EME','NYSE'    
'EBS','NYSE'    
'ESC','NYSE'    
'EMR','NYSE'    
'EDE','NYSE'    
'EIG','NYSE'    
'EDN','NYSE'    
'EOC','NYSE'    
'ICA','NYSE'    
'ELX','NYSE'    
'EEQ','NYSE'    
'EEP','NYSE'    
'ENB','NYSE'    
'ECA','NYSE'    
'END','NYSE'    
'EXK','NYSE'    
'ENH','NYSE'    
'ENH-A','NYSE'  
'ENH-B','NYSE'  
'NDRO','NYSE'   
'EGN','NYSE'    
'ENR','NYSE'    
'EPL','NYSE'    
'ETE','NYSE'    
'ETP','NYSE'    
'ES','NYSE'     
'ERF','NYSE'    
'ENI','NYSE'    
'ENS','NYSE'    
'E','NYSE'      
'EBF','NYSE'    
'NPO','NYSE'    
'ESV','NYSE'    
'ETM','NYSE'    
'EAA','NYSE'    
'ETR','NYSE'    
'ELA','NYSE'    
'ELB','NYSE'    
'EFM','NYSE'    
'EMQ','NYSE'    
'EMZ','NYSE'    
'EDT','NYSE'    
'EPD','NYSE'    
'EPR','NYSE'    
'EPR-C','NYSE'  
'EPR-D','NYSE'  
'EPR-E','NYSE'  
'EVC','NYSE'    
'ENV','NYSE'    
'ENZ','NYSE'    
'EOG','NYSE'    
'EQT','NYSE'    
'EQU','NYSE'    
'EFX','NYSE'    
'ELS','NYSE'    
'ELS-A','NYSE'  
'EQY','NYSE'    
'EQR','NYSE'    
'EQR-N','NYSE'  
'EQS','NYSE'    
'ESE','NYSE'    
'ESS','NYSE'    
'ESS-H','NYSE'  
'EL','NYSE'     
'ESL','NYSE'    
'DEG','NYSE'    
'ETH','NYSE'    
'EEA','NYSE'    
'EVR','NYSE'    
'RE','NYSE'     
'RE-B','NYSE'   
'EXAM','NYSE'   
'EXM','NYSE'    
'EXL','NYSE'    
'XCO','NYSE'    
'EXC','NYSE'    
'EXPR','NYSE'   
'EXH','NYSE'    
'EXR','NYSE'    
'XOM','NYSE'    
'FNB','NYSE'    
'FN','NYSE'     
'FDS','NYSE'    
'FICO','NYSE'   
'FCS','NYSE'    
'FDO','NYSE'    
'FFG','NYSE'    
'AGM','NYSE'    
'AGM-A','NYSE'  
'FRT','NYSE'    
'FSS','NYSE'    
'FTT','NYSE'    
'FII','NYSE'    
'FPT','NYSE'    
'FMN','NYSE'    
'FDX','NYSE'    
'ADY','NYSE'    
'FCH','NYSE'    
'FCH-A','NYSE'  
'FCH-C','NYSE'  
'FGP','NYSE'    
'FOE','NYSE'    
'FBR','NYSE'    
'FNF','NYSE'    
'FIS','NYSE'    
'FMO','NYSE'    
'FTB-A','NYSE'  
'FTB-B','NYSE'  
'FAF','NYSE'    
'FBP','NYSE'    
'FBP-A','NYSE'  
'FBP-B','NYSE'  
'FBP-C','NYSE'  
'FBP-D','NYSE'  
'FBP-E','NYSE'  
'FBS-A','NYSE'  
'FCF','NYSE'    
'FR','NYSE'     
'FR-J','NYSE'   
'FR-K','NYSE'   
'AG','NYSE'     
'FMD','NYSE'    
'FPO','NYSE'    
'FPO-A','NYSE'  
'FRC','NYSE'    
'FHN','NYSE'    
'FFA','NYSE'    
'FMY','NYSE'    
'FAV','NYSE'    
'FIF','NYSE'    
'FSD','NYSE'    
'FCT','NYSE'    
'FGB','NYSE'    
'FHY','NYSE'    
'FEO','NYSE'    
'FAM','NYSE'    
'FUR','NYSE'    
'FE','NYSE'     
'FVE','NYSE'    
'FBC','NYSE'    
'FSR','NYSE'    
'PFD','NYSE'    
'PFO','NYSE'    
'FFC','NYSE'    
'FLC','NYSE'    
'FBF-M','NYSE'  
'FBF-N','NYSE'  
'FLT','NYSE'    
'FTK','NYSE'    
'FLO','NYSE'    
'FLS','NYSE'    
